Country,Date,Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,WHO_Region
Angola,1/23/2020,0,0,0,0,0,0,0,Africa
Antigua and Barbuda,1/23/2020,0,0,0,0,0,0,0,Americas
Argentina,1/23/2020,0,0,0,0,0,0,0,Americas
Armenia,1/23/2020,0,0,0,0,0,0,0,Europe
Australia,1/23/2020,0,0,0,0,0,0,0,Western Pacific
Austria,1/23/2020,0,0,0,0,0,0,0,Europe
Azerbaijan,1/23/2020,0,0,0,0,0,0,0,Europe
Bahamas,1/23/2020,0,0,0,0,0,0,0,Americas
Bahrain,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Bangladesh,1/23/2020,0,0,0,0,0,0,0,South-East Asia
Barbados,1/23/2020,0,0,0,0,0,0,0,Americas
Belarus,1/23/2020,0,0,0,0,0,0,0,Europe
Belgium,1/23/2020,0,0,0,0,0,0,0,Europe
Belize,1/23/2020,0,0,0,0,0,0,0,Americas
Benin,1/23/2020,0,0,0,0,0,0,0,Africa
Bhutan,1/23/2020,0,0,0,0,0,0,0,South-East Asia
Bolivia,1/23/2020,0,0,0,0,0,0,0,Americas
Bosnia and Herzegovina,1/23/2020,0,0,0,0,0,0,0,Europe
Botswana,1/23/2020,0,0,0,0,0,0,0,Africa
Brazil,1/23/2020,0,0,0,0,0,0,0,Americas
Brunei,1/23/2020,0,0,0,0,0,0,0,Western Pacific
Bulgaria,1/23/2020,0,0,0,0,0,0,0,Europe
Burkina Faso,1/23/2020,0,0,0,0,0,0,0,Africa
Burma,1/23/2020,0,0,0,0,0,0,0,South-East Asia
Burundi,1/23/2020,0,0,0,0,0,0,0,Africa
Cabo Verde,1/23/2020,0,0,0,0,0,0,0,Africa
Cambodia,1/23/2020,0,0,0,0,0,0,0,Western Pacific
Cameroon,1/23/2020,0,0,0,0,0,0,0,Africa
Canada,1/23/2020,0,0,0,0,0,0,0,Americas
Central African Republic,1/23/2020,0,0,0,0,0,0,0,Africa
Chad,1/23/2020,0,0,0,0,0,0,0,Africa
Chile,1/23/2020,0,0,0,0,0,0,0,Americas
China,1/23/2020,643,18,30,595,95,1,2,Western Pacific
